task_action_id,task_parent_id,task_action_name,task_deadline,task_reminder,task_status
1,1,action 1,2024-13-05,False,in progress
2,1,action 2,2024-01-06,False,in progress
3,1,action 3,2024-01-07,False,in progress
4,1,action 4,2024-01-08,False,in progress
5,1,action 5,2024-01-05,False,in progress
1,2,action 1,2024-02-06,False,in progress
2,2,action 2,2024-03-06,False,in progress
3,2,action 3,2024-13-05,False,in progress
4,2,action 4,2024-13-06,False,in progress
1,3,action 1,2024-13-08,False,in progress
2,3,action 2,2024-13-05,False,in progress

